step	epoch
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.01
20	0.01
21	0.01
22	0.01
23	0.01
24	0.01
25	0.01
26	0.01
27	0.01
28	0.01
29	0.01
30	0.01
31	0.01
32	0.01
33	0.01
34	0.01
35	0.01
36	0.01
37	0.01
38	0.01
39	0.01
40	0.01
41	0.01
42	0.01
43	0.01
44	0.01
45	0.01
46	0.01
47	0.01
48	0.01
49	0.01
50	0.01
51	0.01
52	0.01
53	0.01
54	0.01
55	0.01
56	0.01
57	0.01
58	0.01
59	0.01
60	0.02
61	0.02
62	0.02
63	0.02
64	0.02
65	0.02
66	0.02
67	0.02
68	0.02
69	0.02
70	0.02
71	0.02
72	0.02
73	0.02
74	0.02
75	0.02
76	0.02
77	0.02
78	0.02
79	0.02
80	0.02
81	0.02
82	0.02
83	0.02
84	0.02
85	0.02
86	0.02
87	0.02
88	0.02
89	0.02
90	0.02
91	0.02
92	0.02
93	0.02
94	0.02
95	0.02
96	0.02
97	0.02
98	0.02
99	0.02
100	0.02
101	0.03
102	0.03
103	0.03
104	0.03
105	0.03
106	0.03
107	0.03
108	0.03
109	0.03
110	0.03
111	0.03
112	0.03
113	0.03
114	0.03
115	0.03
116	0.03
117	0.03
118	0.03
119	0.03
120	0.03
121	0.03
122	0.03
123	0.03
124	0.03
125	0.03
126	0.03
127	0.03
128	0.03
129	0.03
130	0.03
131	0.03
132	0.03
133	0.03
134	0.03
135	0.03
136	0.03
137	0.03
138	0.03
139	0.03
140	0.03
141	0.03
142	0.04
143	0.04
144	0.04
145	0.04
146	0.04
147	0.04
148	0.04
149	0.04
150	0.04
151	0.04
152	0.04
153	0.04
154	0.04
155	0.04
156	0.04
157	0.04
158	0.04
159	0.04
160	0.04
161	0.04
162	0.04
163	0.04
164	0.04
165	0.04
166	0.04
167	0.04
168	0.04
169	0.04
170	0.04
171	0.04
172	0.04
173	0.04
174	0.04
175	0.04
176	0.04
177	0.04
178	0.04
179	0.04
180	0.04
181	0.04
182	0.04
183	0.04
184	0.05
185	0.05
186	0.05
187	0.05
188	0.05
189	0.05
190	0.05
191	0.05
192	0.05
193	0.05
194	0.05
195	0.05
196	0.05
197	0.05
198	0.05
199	0.05
200	0.05
201	0.05
202	0.05
203	0.05
204	0.05
205	0.05
206	0.05
207	0.05
208	0.05
209	0.05
210	0.05
211	0.05
212	0.05
213	0.05
214	0.05
215	0.05
216	0.05
217	0.05
218	0.05
219	0.05
220	0.05
221	0.05
222	0.05
223	0.05
224	0.05
225	0.06
226	0.06
227	0.06
228	0.06
229	0.06
230	0.06
231	0.06
232	0.06
233	0.06
234	0.06
235	0.06
236	0.06
237	0.06
238	0.06
239	0.06
240	0.06
241	0.06
242	0.06
243	0.06
244	0.06
245	0.06
246	0.06
247	0.06
248	0.06
249	0.06
250	0.06
251	0.06
252	0.06
253	0.06
254	0.06
255	0.06
256	0.06
257	0.06
258	0.06
259	0.06
260	0.06
261	0.06
262	0.06
263	0.06
264	0.06
265	0.07
266	0.07
267	0.07
268	0.07
269	0.07
270	0.07
271	0.07
272	0.07
273	0.07
274	0.07
275	0.07
276	0.07
277	0.07
278	0.07
279	0.07
280	0.07
281	0.07
282	0.07
283	0.07
284	0.07
285	0.07
286	0.07
287	0.07
288	0.07
289	0.07
290	0.07
291	0.07
292	0.07
293	0.07
294	0.07
295	0.07
296	0.07
297	0.07
298	0.07
299	0.07
300	0.07
301	0.07
302	0.07
303	0.07
304	0.07
305	0.07
306	0.08
307	0.08
308	0.08
309	0.08
310	0.08
311	0.08
312	0.08
313	0.08
314	0.08
315	0.08
316	0.08
317	0.08
318	0.08
319	0.08
320	0.08
321	0.08
322	0.08
323	0.08
324	0.08
325	0.08
326	0.08
327	0.08
328	0.08
329	0.08
330	0.08
331	0.08
332	0.08
333	0.08
334	0.08
335	0.08
336	0.08
337	0.08
338	0.08
339	0.08
340	0.08
341	0.08
342	0.08
343	0.08
344	0.08
345	0.08
346	0.08
347	0.09
348	0.09
349	0.09
350	0.09
351	0.09
352	0.09
353	0.09
354	0.09
355	0.09
356	0.09
357	0.09
358	0.09
359	0.09
360	0.09
361	0.09
362	0.09
363	0.09
364	0.09
365	0.09
366	0.09
367	0.09
368	0.09
369	0.09
370	0.09
371	0.09
372	0.09
373	0.09
374	0.09
375	0.09
376	0.09
377	0.09
378	0.09
379	0.09
380	0.09
381	0.09
382	0.09
383	0.09
384	0.09
385	0.09
386	0.09
387	0.09
388	0.1
389	0.1
390	0.1
391	0.1
392	0.1
393	0.1
394	0.1
395	0.1
396	0.1
397	0.1
398	0.1
399	0.1
400	0.1
401	0.1
402	0.1
403	0.1
404	0.1
405	0.1
406	0.1
407	0.1
408	0.1
409	0.1
410	0.1
411	0.1
412	0.1
413	0.1
414	0.1
415	0.1
416	0.1
417	0.1
418	0.1
419	0.1
420	0.1
421	0.1
422	0.1
423	0.1
424	0.1
425	0.1
426	0.1
427	0.1
428	0.1
429	0.11
430	0.11
431	0.11
432	0.11
433	0.11
434	0.11
435	0.11
436	0.11
437	0.11
438	0.11
439	0.11
440	0.11
441	0.11
442	0.11
443	0.11
444	0.11
445	0.11
446	0.11
447	0.11
448	0.11
449	0.11
450	0.11
451	0.11
452	0.11
453	0.11
454	0.11
455	0.11
456	0.11
457	0.11
458	0.11
459	0.11
460	0.11
461	0.11
462	0.11
463	0.11
464	0.11
465	0.11
466	0.11
467	0.11
468	0.11
469	0.11
470	0.12
471	0.12
472	0.12
473	0.12
474	0.12
475	0.12
476	0.12
477	0.12
478	0.12
479	0.12
480	0.12
481	0.12
482	0.12
483	0.12
484	0.12
485	0.12
486	0.12
487	0.12
488	0.12
489	0.12
490	0.12
491	0.12
492	0.12
493	0.12
494	0.12
495	0.12
496	0.12
497	0.12
498	0.12
499	0.12
500	0.12
501	0.12
502	0.12
503	0.12
504	0.12
505	0.12
506	0.12
507	0.12
508	0.12
509	0.12
510	0.13
511	0.13
512	0.13
513	0.13
514	0.13
515	0.13
516	0.13
517	0.13
518	0.13
519	0.13
520	0.13
521	0.13
522	0.13
523	0.13
524	0.13
525	0.13
526	0.13
527	0.13
528	0.13
529	0.13
530	0.13
531	0.13
532	0.13
533	0.13
534	0.13
535	0.13
536	0.13
537	0.13
538	0.13
539	0.13
540	0.13
541	0.13
542	0.13
543	0.13
544	0.13
545	0.13
546	0.13
547	0.13
548	0.13
549	0.13
550	0.13
551	0.13
552	0.14
553	0.14
554	0.14
555	0.14
556	0.14
557	0.14
558	0.14
559	0.14
560	0.14
561	0.14
562	0.14
563	0.14
564	0.14
565	0.14
566	0.14
567	0.14
568	0.14
569	0.14
570	0.14
571	0.14
